"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"112","Total_cost_societ",2740.57046183969,1747.74154547559,3733.39937820379,1833.15720582707,-852.417661581377,6333.55858526075,1,"Race"
"113","SEQN",0,0,0,0,0,0,1,"pir_cat"
"114","Incident First CVD",-0.00494077753573265,-0.00789877612497685,-0.00198277894648845,0.00981559752489817,-0.0241793486845331,0.0142977936130678,1,"pir_cat"
"115","Incident Recurrent CVD",-0.0189572118100964,-0.036861354386071,-0.00105306923412179,0.0338358153545712,-0.0852754099050559,0.0473609862848631,1,"pir_cat"
"116","Incident CVD",-0.0238979893458291,-0.0388441333325595,-0.00895184535909865,0.0317785064437347,-0.0861838619755492,0.0383878832838911,1,"pir_cat"
"117","Life Years",-0.0273275341337477,-0.0802415919925646,0.0255865237250692,0.149659016280026,-0.320659206042598,0.266004137775103,1,"pir_cat"
"118","effect_disc",-0.0153043202206295,-0.0443454748804984,0.0137368344392394,0.0798543137037737,-0.171818775080026,0.141210134638767,1,"pir_cat"
"119","HCE_disc",-4514.38197906097,-5868.33796349311,-3160.42599462883,2671.97041312809,-9751.44398879203,722.680030670095,1,"pir_cat"
"120","Prod_cost",-1397.45008138838,-2192.27903203335,-602.621130743414,1534.5684999201,-4405.20434123178,1610.30417845501,1,"pir_cat"
"121","Food_cost",6138.2946090168,6028.35610241121,6248.23311562239,244.979860240359,5658.13408294569,6618.4551350879,1,"pir_cat"
"122","Food_cost_disc",4764.59732385917,4678.7235262042,4850.47112151413,181.193082904775,4409.45888136581,5119.73576635252,1,"pir_cat"
"123","Prod_cost_disc",-1079.13932163773,-1662.61181197146,-495.666831304006,1121.46368306279,-3277.20814044081,1118.92949716535,1,"pir_cat"
"124","Admin_costs",898.755956619773,882.477685632114,915.034227607432,33.342575156325,833.404509313376,964.10740392617,1,"pir_cat"
"125","Total_cost_health",1148.97130141797,-102.832614371549,2400.77521720749,2599.04507169214,-3945.15703909863,6243.09964193457,1,"pir_cat"
"126","Total_cost_societ",69.8319797802368,-1765.44442634301,1905.10838590348,3603.21292748691,-6992.4653580941,7132.12931765458,1,"pir_cat"
"127","SEQN",0,0,0,0,0,0,2,"pir_cat"
"128","Incident First CVD",-0.00330427090061619,-0.00875928468572839,0.00215074288449601,0.00968959314224064,-0.0222958734594078,0.0156873316581755,2,"pir_cat"
"129","Incident Recurrent CVD",-0.00313226265767686,-0.00480365558975956,-0.00146086972559416,0.00458527270207983,-0.0121193971537533,0.0058548718383996,2,"pir_cat"
"130","Incident CVD",-0.00643653355829305,-0.0102201544113225,-0.00265291270526355,0.00901783480498553,-0.0241114897760647,0.0112384226594786,2,"pir_cat"
"131","Life Years",0.0033854927283629,-0.00201330007327819,0.00878428553000399,0.0517209329641475,-0.0979875358813662,0.104758521338092,2,"pir_cat"
"132","effect_disc",0.0027666677822723,0.0025069362175175,0.0030263993470271,0.0260516866766128,-0.0482946381038887,0.0538279736684333,2,"pir_cat"
